"V1"	"V2"	"V3"	"V6"
"241540"	782224	496579	5	"2001/02/04"
"214739"	771213	382391	3	"2001/03/09"
"222396"	773939	708757	5	"2001/10/30"
"59203"	728480	287856	4	"2001/02/21"
"5491"	277974660	204506	5	"2001/10/27"
"292174"	809015	300364	5	"2001/01/22"
"183419"	761887	443503	5	"2001/09/28"
"8853"	720776	293732	5	"2001/04/10"
"206717"	768513	309973	5	"2002/02/14"
"222818"	774158	292095	5	"2001/02/07"
"51565"	1090948740	365394	5	"2001/01/19"
"274645"	4102721156	398549	5	"2001/11/15"
"133051"	746904	210284	4	"2001/04/19"
"11119"	318738052	495905	5	"2001/04/10"
"42404"	872582788	330117	5	"2001/04/14"
"7702"	720295	377673	5	"2001/08/08"
"242357"	782596	225095	5	"2001/02/04"
"298986"	812321	315231	5	"2001/03/08"
"281282"	803619	534836	4	"2003/05/10"
"156472"	3682963076	204278	5	"2001/09/06"
"112574"	739229	539856	5	"2001/03/07"
"222338"	773918	278587	3	"2001/10/30"
"133487"	747203	309398	5	"2001/04/19"
"55088"	1166642820	483668	5	"2001/02/09"
"119649"	2454490756	336718	5	"2001/07/13"
"207511"	768712	239694	5	"2002/02/14"
"151059"	752293	542694	5	"2001/08/28"
"192719"	764707	277804	5	"2003/01/03"
"29125"	725236	552795	5	"2001/08/23"
"84555"	1671138948	210836	5	"2001/05/05"
"161052"	753003	434487	5	"2001/06/20"
"20431"	504663684	483668	5	"2001/05/22"
"232415"	778050	520734	5	"2001/01/31"
"54483"	1155174020	280006	5	"2001/02/09"
"99540"	2053869188	209674	5	"2001/01/18"
"25204"	578915972	1368887172	5	"2001/06/29"
"120404"	2493419140	210284	5	"2001/05/08"
"171082"	756108	281943	5	"2001/09/07"
"225640"	775510	522198	3	"2001/02/07"
"135604"	748239	719373	5	"2001/06/06"
"88531"	1836748420	272022	2	"2001/07/31"
"185946"	762542	408948	5	"2001/09/28"
"298926"	812251	358812	5	"2001/03/08"
"177665"	4008480388	313693	5	"2003/06/02"
"252567"	787801	305778	5	"2001/01/31"
"75618"	1515753092	401163	5	"2002/03/10"
"109251"	2380369540	242264	5	"2001/04/20"
"84830"	1680903812	210284	5	"2001/05/05"
"186795"	762857	232795	3	"2001/09/28"
"239541"	781339	429394	5	"2001/02/04"
"115883"	741338	489837	5	"2001/07/13"
"269572"	796786	403130	5	"2001/09/28"
"91928"	736226	247337	5	"2001/01/26"
"18991"	458198660	247337	5	"2001/05/18"
"49617"	1051037316	210646	5	"2001/02/07"
"142503"	748810	447478	4	"2001/04/10"
"237194"	780042	232969	5	"2001/02/04"
"229187"	776881	256175	5	"2001/01/31"
"233574"	778527	380461	5	"2001/01/31"
"90209"	735045	535633	3	"2001/06/16"
"217347"	771996	256878	5	"2001/03/09"
"182331"	761434	252420	5	"2002/02/18"
"82771"	1625394820	407132	5	"2001/09/28"
"73742"	1470992004	410002	5	"2001/01/26"
"216693"	771917	372535	5	"2001/03/09"
"279673"	4109667972	3174403972	5	"2003/05/10"
"174239"	3948580484	441998	4	"2002/04/10"
"122662"	2626915972	333720	5	"2001/03/19"
"59812"	728716	233969	5	"2002/02/16"
"126204"	745366	351674	2	"2001/05/13"
"34129"	780504708	533878	5	"2001/05/11"
"218391"	772247	200338	5	"2001/03/09"
"289132"	807637	240416	5	"2001/08/21"
"138971"	3137572484	326177	4	"2001/01/18"
"252108"	787603	1526566788	5	"2001/01/31"
"41583"	727595	276559	5	"2003/06/14"
"189281"	763779	210789	5	"2001/08/04"
"209420"	769225	2982252420	5	"2001/02/23"
"60645"	728979	249400	4	"2001/02/13"
"58915"	1261932164	256303	5	"2001/02/21"
"200456"	766980	451811	5	"2002/02/14"
"153351"	3541274244	432043	5	"2001/03/29"
"162973"	754223	222557	5	"2001/06/20"
"175021"	3980496516	1714196356	4	"2001/03/16"
"131809"	2945879684	380175	4	"2002/03/10"
"7024"	719982	210284	4	"2002/02/17"
"26625"	628657796	538598	5	"2001/11/29"
"26175"	616337028	262051	4	"2001/11/29"
"258075"	790368	416890	5	"2001/08/05"
"232755"	778093	367837	4	"2001/01/31"
"246365"	784978	330912	5	"2001/04/17"
"48031"	1010077316	346486	5	"2001/03/19"
"263139"	793105	442980	5	"2001/06/21"
"110970"	738330	302444	5	"2001/04/20"
"228524"	776508	243081	4	"2001/01/31"
"42696"	727782	218579	4	"2001/04/14"
"115870"	741338	494775	5	"2001/07/13"
"122562"	2620952196	462625	4	"2001/03/19"
"42400"	872582788	526523	5	"2001/04/14"
"101355"	2105708164	269785	5	"2001/01/24"
"128401"	2780728964	288272	3	"2001/02/11"
"51436"	1090358916	304925	5	"2001/01/19"
"86579"	1741917828	252302	3	"2001/04/18"
"118730"	742994	238783	4	"2001/07/13"
"246659"	785074	393223	5	"2001/04/17"
"155809"	3663957636	627845	3	"2001/04/20"
"200161"	766885	207041	4	"2001/10/29"
"284572"	805694	231460	5	"2002/09/15"
"204747"	768034	423230	5	"2002/02/14"
"243838"	4079259268	235377	5	"2001/02/04"
"130613"	2889322116	208103	5	"2002/03/10"
"286508"	806518	446576	5	"2001/10/30"
"262272"	792663	319798	5	"2001/06/21"
"291070"	808594	306614	5	"2001/01/22"
"214542"	771145	361404	5	"2001/03/09"
"182805"	761669	260251	5	"2002/02/18"
"76621"	1556516484	334383	5	"2001/03/23"
"102619"	2132774532	336718	5	"2001/08/30"
"124135"	743771	506137	5	"2001/05/13"
"172106"	756592	260251	5	"2001/08/23"
"102390"	2123206276	204441	5	"2001/08/30"
"237741"	4073033348	3205533572	5	"2001/02/04"
"182856"	761675	255817	4	"2002/02/18"
"243728"	783157	408463	5	"2001/02/04"
"275141"	799482	204418	5	"2001/11/15"
"251995"	787597	266240	4	"2001/01/31"
"242279"	782558	298184	5	"2001/02/04"
"295059"	810187	292193	4	"2001/01/22"
"87434"	1784909444	205076	5	"2001/07/31"
"47239"	999919236	224644	5	"2001/03/19"
"293921"	809635	370291	5	"2001/01/22"
"106976"	2270596740	201180	5	"2001/09/12"
"182418"	761470	295423	5	"2002/02/18"
"20424"	504663684	222557	5	"2001/05/22"
"273626"	798990	372535	5	"2001/11/15"
"208173"	768925	692821	4	"2002/02/14"
"287373"	807042	398175	5	"2001/08/21"
"235979"	779308	532010	5	"2001/01/31"
"226665"	775933	215938	5	"2002/07/31"
"89241"	1867288196	244708	5	"2001/07/31"
"22109"	722687	375750	3	"2001/07/11"
"161582"	753212	2515308420	5	"2001/06/20"
"102934"	2138934916	441052	4	"2001/08/30"
"13917"	721246	346777	4	"2001/03/15"
"237527"	780236	279675	4	"2001/02/04"
"231561"	777626	350765	5	"2001/01/31"
"234987"	779002	309973	5	"2001/01/31"
"228220"	776393	461876	4	"2001/01/31"
"230755"	777553	3137834884	5	"2001/01/31"
"58060"	1245810308	437158	5	"2001/02/09"
"56707"	1211666052	418616	5	"2001/02/09"
"165748"	755640	323666	5	"2001/06/20"
"52929"	1123716740	700005	5	"2001/01/23"
"296607"	811009	224762	4	"2001/03/08"
"99691"	2055966340	1568706436	5	"2001/01/18"
"17449"	407670404	459085	4	"2001/05/18"
"209988"	769476	404257	5	"2001/02/23"
"192040"	764481	261079	4	"2003/01/03"
"113788"	740008	302801	5	"2001/07/13"
"246838"	785117	350765	5	"2001/04/17"
"248885"	786198	346485	5	"2001/04/01"
"66065"	730943	218235	4	"2001/09/06"
"64003"	730244	289842	5	"2001/09/06"
"112583"	739229	420738	4	"2001/03/07"
"79013"	733270	206813	5	"2001/08/24"
"223028"	774190	416547	5	"2001/02/07"
"65945"	730905	309377	5	"2001/09/06"
"176877"	4003171972	359564	5	"2001/02/05"
"208487"	768985	261568	5	"2001/02/23"
"286678"	806611	356034	4	"2001/10/30"
"17969"	421826180	222449	5	"2001/05/18"
"152720"	3517288068	296904	4	"2001/03/29"
"265875"	794605	3013644164	5	"2001/06/21"
"46730"	982093444	200595	4	"2002/02/21"
"42287"	869568132	234885	5	"2001/04/14"
"270563"	797275	406795	5	"2001/09/28"
"163264"	754277	200762	5	"2001/06/20"
"260915"	791931	462630	5	"2001/08/05"
"179804"	760082	351471	5	"2003/06/02"
"166420"	3815018116	292095	5	"2001/09/07"
"270759"	797403	471223	5	"2001/09/28"
"283733"	805368	248235	5	"2002/09/15"
"61172"	729150	263022	5	"2001/08/16"
"274374"	799264	386189	5	"2001/11/15"
"34214"	780504708	597498	5	"2001/05/11"
"34268"	781684356	293732	5	"2001/05/11"
"110509"	737991	1504743300	5	"2001/04/20"
"163700"	754524	332261	5	"2001/06/20"
"145450"	750056	260251	5	"2001/08/20"
"228443"	776506	300048	5	"2001/01/31"
"168981"	3882389124	234283	5	"2001/09/07"
"191099"	764266	222557	4	"2001/08/04"
"145242"	750006	261079	5	"2001/08/20"
"47054"	993627780	262919	4	"2001/03/19"
"294343"	809885	308854	5	"2001/01/22"
"99429"	2047184516	201180	5	"2001/01/18"
"274097"	799043	243427	5	"2001/11/15"
"289514"	807870	337700	5	"2001/01/22"
"96100"	1929023108	237120	5	"2001/02/17"
"277706"	801047	232924	5	"2001/03/23"
"295711"	810511	450704	5	"2001/10/05"
"97056"	1969458820	235971	4	"2001/01/18"
"107239"	2287046276	270206	5	"2001/09/12"
"225068"	775145	416547	5	"2001/02/07"
"54117"	1145867908	322117	4	"2001/02/09"
"276379"	800011	323374	5	"2001/11/15"
"207301"	768681	243427	5	"2002/02/14"
"124615"	744075	351524	3	"2001/05/13"
"124323"	743936	363878	4	"2001/05/13"
"150329"	751939	261183	5	"2001/03/07"
"209351"	769195	267043	5	"2001/02/23"
"160567"	752634	1216515972	5	"2001/06/20"
"255294"	789034	346486	5	"2001/08/05"
"176035"	757951	457657	5	"2001/03/16"
"139318"	3143470724	256565	5	"2001/04/10"
"296024"	810674	415655	5	"2001/10/05"
"21847"	722540	282870	5	"2001/07/11"
"19312"	471568004	211247	5	"2001/05/18"
"72622"	1427213956	2413727620	5	"2002/07/31"
"173492"	757070	200500	5	"2002/04/10"
"294856"	810100	350170	5	"2001/01/22"
"123851"	743387	263801	5	"2001/05/13"
"45535"	954830468	370291	5	"2001/03/29"
"85240"	1697418884	231385	4	"2001/05/05"
"168718"	3873083012	218579	5	"2001/09/07"
"62439"	729729	210964	5	"2001/08/16"
"20356"	500731524	233600	5	"2001/05/22"
"145478"	750056	279109	5	"2001/08/20"
"93284"	736996	244271	5	"2001/01/26"
"214688"	771186	410002	4	"2001/03/09"
"40216"	727220	235717	5	"2003/05/15"
"150265"	751853	365973	5	"2001/03/07"
"77541"	732501	287021	5	"2001/03/23"
"259874"	791464	370719	5	"2001/08/05"
"32334"	725989	260558	4	"2001/08/23"
"209675"	769338	461876	4	"2001/02/23"
"55819"	1191677572	299846	5	"2001/02/09"
"231855"	777787	716243	4	"2001/01/31"
"234445"	778908	294018	3	"2001/01/31"
"155326"	3634400900	222557	5	"2001/04/20"
"176090"	757963	311129	5	"2001/03/16"
"160575"	752634	244708	5	"2001/06/20"
"68660"	1299287684	497285	4	"2001/09/06"
"214553"	771145	459085	5	"2001/03/09"
"197275"	766191	200903	5	"2001/10/20"
"56867"	1217498756	396581	5	"2001/03/16"
"9904"	294751876	368449	5	"2001/04/10"
"29993"	689802884	450333	5	"2001/08/23"
"95621"	1903726212	237979	5	"2001/02/17"
"178256"	758964	274412	4	"2003/06/02"
"92999"	736709	346777	4	"2001/01/26"
"4025"	241340036	280501	5	"2001/03/29"
"133597"	747295	292852	5	"2001/04/19"
"107178"	2281672324	210284	4	"2001/09/12"
"178659"	4026896004	3236269956	5	"2003/06/02"
"125440"	744809	346777	3	"2001/05/13"
"170615"	3923676804	430252	5	"2001/09/07"
"233002"	778298	426430	5	"2001/01/31"
"229744"	777136	281638	5	"2001/01/31"
"202822"	767566	338514	5	"2002/02/14"
"36048"	823496324	673695	5	"2001/06/13"
"112769"	739298	238184	5	"2001/03/07"
"199844"	766784	630119	5	"2001/10/06"
"285792"	806251	233466	5	"2001/10/30"
"15930"	377261700	362994	5	"2001/03/15"
"191658"	764408	432043	5	"2003/01/03"
"220405"	773061	279499	5	"2001/04/23"
"91910"	736226	462224	5	"2001/01/26"
"174718"	3965619844	626193	4	"2001/03/16"
"53630"	1141673604	290844	5	"2001/08/16"
"290564"	808392	468693	5	"2001/01/22"
"51751"	1093176964	293732	5	"2001/01/19"
"28412"	724904	256303	3	"2001/02/22"
"34084"	776310404	380175	4	"2001/05/11"
"215144"	771369	266827	5	"2001/03/09"
"276659"	800160	3200946052	5	"2001/11/15"
"277215"	800700	332713	4	"2001/11/15"
"8363"	720586	438886	5	"2001/08/20"
"58654"	1258524292	405871	5	"2001/02/21"
"270789"	797483	483668	5	"2001/09/28"
"250271"	786803	329340	5	"2001/04/01"
"133679"	747324	491968	5	"2001/04/19"
"290825"	808560	349421	5	"2001/01/22"
"188780"	763589	279544	5	"2001/08/04"
"299539"	812462	650111	5	"2001/03/08"
"198747"	766551	208923	5	"2001/10/06"
"130416"	2877197956	380658	5	"2002/03/10"
"86128"	1730842244	234350	4	"2001/04/18"
"289650"	807935	348390	2	"2001/01/22"
"84549"	1671007876	295491	3	"2001/05/05"
"205408"	768134	248119	4	"2002/02/14"
"27556"	650743428	552795	4	"2001/11/29"
"180490"	760416	339360	4	"2003/06/02"
"149625"	750930	334403	5	"2001/03/07"
"292076"	809008	331570	5	"2001/01/22"
"226153"	775717	202911	3	"2002/07/31"
"130040"	2857340548	307866	2	"2002/03/10"
"234378"	778897	300364	5	"2001/01/31"
"46999"	987270788	434487	5	"2001/03/19"
"216634"	771913	353144708	4	"2001/03/09"
"2152"	196972164	256565	5	"2001/03/29"
"46454"	976981636	329116	5	"2002/02/21"
"237094"	779988	3135213444	4	"2001/02/04"
"15791"	373788292	260558	5	"2001/03/15"
"184746"	762280	380439	4	"2001/09/28"
"86522"	1741131396	260558	5	"2001/04/18"
"251750"	787484	281871	5	"2001/01/31"
"195390"	765699	223418	5	"2001/10/20"
"195492"	765726	247388	5	"2001/10/20"
"235122"	779023	496579	5	"2001/01/31"
"212938"	770607	293646	5	"2001/08/22"
"111694"	738644	391008	4	"2001/04/20"
"285936"	806315	304172	4	"2001/10/30"
"289322"	807755	1509068676	5	"2001/09/02"
"242223"	782539	304780	5	"2001/02/04"
"163575"	754409	301396	4	"2001/06/20"
"37816"	726282	321451	5	"2003/04/28"
"279268"	802200	465422	5	"2001/03/23"
"139654"	3148844676	551841	3	"2001/04/10"
"109476"	2389741188	233068	4	"2001/04/20"
"106293"	2243595908	2064355204	5	"2001/09/12"
"92911"	736654	240308	5	"2001/01/26"
"186035"	762543	225095	5	"2001/09/28"
"14758"	721530	558451	5	"2001/03/15"
"1547"	180719236	262760	5	"2001/03/29"
"255325"	789034	270967	5	"2001/08/05"
"255016"	788927	411391	2	"2001/08/05"
"28269"	724770	268499	3	"2001/02/22"
"141959"	3220737668	447478	3	"2001/04/10"
"74666"	1495043716	558451	5	"2001/09/28"
"146027"	750307	322397	4	"2001/08/20"
"271111"	797615	468091	5	"2001/09/28"
"29184"	674860676	235717	4	"2001/08/23"
"202833"	767566	383624	5	"2002/02/14"
"44758"	728229	238290	5	"2001/06/21"
"165717"	755616	302584	5	"2001/06/20"
"245650"	784539	263022	5	"2001/04/17"
"113556"	739908	301950	5	"2001/07/13"
"65582"	730852	296904	5	"2001/09/06"
"33295"	749571716	296027	5	"2001/08/23"
"19712"	479301252	288418	5	"2001/03/27"
"187473"	763095	283744	4	"2001/08/04"
"159434"	3797716612	1889832836	5	"2001/06/20"
"13441"	721115	375750	5	"2001/03/15"
"285199"	805976	342046	5	"2001/10/30"
"279115"	802074	552063	4	"2001/03/23"
"276864"	800300	298752	4	"2001/11/15"
"117397"	742360	463721	5	"2001/07/13"
"205236"	768120	255623	5	"2002/02/14"
"188696"	763589	280252	5	"2001/08/04"
"257163"	789883	269964	3	"2001/08/05"
"198833"	766577	204358	5	"2001/10/06"
"171993"	756480	657020	5	"2001/08/23"
"49460"	1047957124	383172	4	"2001/05/20"
"233609"	778533	237489	4	"2001/01/31"
"219055"	772521	427991	5	"2001/03/09"
"3148"	219057796	1183289220	2	"2001/03/29"
"300171"	812765	242696	5	"2001/03/08"
"60386"	728872	376706	5	"2002/02/16"
"131614"	2928184964	511314	5	"2002/03/10"
"125567"	744902	200690	5	"2001/05/13"
"283240"	805185	255170	5	"2001/02/06"
"64691"	730532	262226	5	"2001/09/06"
"217231"	771973	741314436	4	"2001/03/09"
"56328"	1201376900	279675	5	"2001/02/09"
"175451"	757626	213839	5	"2001/03/16"
"15481"	361401988	203241	5	"2001/03/15"
"45996"	964726404	240491	5	"2001/03/29"
"75878"	1523814020	1714524036	5	"2002/03/10"
"202250"	767444	535276	5	"2002/02/14"
"141569"	3212873348	432466	5	"2001/04/10"
"122976"	2648804996	508055	5	"2001/03/19"
"248576"	785939	309744	4	"2001/04/01"
"159582"	3804073604	238687	5	"2001/06/20"
"289425"	807815	315436	5	"2001/09/02"
"64319"	730404	233481	5	"2001/09/06"
"175760"	757750	209674	5	"2001/03/16"
"14434"	721389	241261	5	"2001/03/15"
"7666"	720286	483668	4	"2001/08/08"
"176831"	758206	389260	5	"2001/02/05"
"278257"	801281	312846	5	"2001/03/23"
"88323"	1825607300	558451	5	"2001/07/31"
"179396"	759852	321254	4	"2003/06/02"
"97645"	1990299268	301949	5	"2001/01/18"
"46526"	978423428	578870	5	"2002/02/21"
"89175"	1866370692	255170	5	"2001/07/31"
"89146"	1866370692	200338	5	"2001/07/31"
"234537"	778942	402326	5	"2001/01/31"
"95314"	737860	281871	5	"2001/02/17"
"67639"	731592	558451	5	"2001/09/06"
"83066"	1632079492	349421	5	"2001/10/30"
"172669"	756822	239232	5	"2001/07/18"
"50161"	1064078980	200204	5	"2001/02/07"
"133754"	747331	705223	5	"2001/04/19"
"180573"	760430	523575	5	"2003/06/02"
"264749"	794152	299917	5	"2001/06/21"
"209936"	769464	390070	5	"2001/02/23"
"152408"	3505426052	233481	5	"2001/03/29"
"254817"	788804	468091	4	"2001/08/05"
"202931"	767583	545353	5	"2002/02/14"
"232939"	778242	277666	5	"2001/01/31"
"188137"	763454	493549	5	"2001/08/04"
"28271"	724770	279109	3	"2001/02/22"
"159246"	3785002628	201915	5	"2001/11/15"
"42091"	867602052	261351	5	"2003/06/14"
"62900"	729876	491968	5	"2001/08/16"
"189046"	763630	273029	5	"2001/08/04"
"20597"	506891908	215880	5	"2001/05/22"
"228978"	776745	530391	5	"2001/01/31"
"45890"	962563716	240913	5	"2001/03/29"
"159987"	752379	202911	5	"2001/06/20"
"149254"	750439	240308	4	"2001/03/07"
"36649"	830836356	315530	5	"2001/03/16"
"273922"	799030	413254	5	"2001/11/15"
"213749"	770844	324994	5	"2001/03/09"
"33735"	766545540	200338	5	"2001/05/11"
"297021"	811355	437476	5	"2001/03/08"
"114439"	740468	222557	5	"2001/07/13"
"208492"	768985	465597	5	"2001/02/23"
"185142"	762376	344529	5	"2001/09/28"
"263947"	793481	454387	5	"2001/06/21"
"68563"	1295421060	210284	5	"2001/09/06"
"5702"	278761092	302684	5	"2001/10/27"
"190381"	764042	270075	5	"2001/08/04"
"197698"	766318	453926	6	"2001/09/22"
"12253"	337546884	356519	5	"2001/03/15"
"211030"	769905	223418	3	"2001/02/23"
"94242"	737550	398870	5	"2001/02/17"
"20316"	499158660	418988	5	"2001/05/22"
"34049"	773885572	559271	5	"2001/05/11"
"121873"	2578747012	226286	4	"2001/05/08"
"114067"	740226	261449	4	"2001/07/13"
"17351"	405966468	242264	5	"2001/03/15"
"173052"	756981	297788	5	"2001/07/18"
"89667"	734661	250895	5	"2001/01/21"
"31418"	735809156	233969	3	"2001/08/23"
"28002"	668700292	293976	5	"2001/11/29"
"187951"	763315	372535	5	"2001/08/04"
"295462"	810375	247820	5	"2001/10/05"
"115911"	741388	550120	3	"2001/07/13"
"137987"	3104214660	210284	5	"2001/01/18"
"204280"	767930	306566	5	"2002/02/14"
"67251"	731453	329383	5	"2001/09/06"
"263486"	793288	261079	4	"2001/06/21"
"118029"	742612	489221	5	"2001/07/13"
"197096"	766123	407776	5	"2001/10/20"
"238903"	780939	283312	5	"2001/02/04"
"299896"	812621	551551	5	"2001/03/08"
"3953"	240422532	313188	5	"2001/03/29"
"37522"	864063108	285907	5	"2003/04/28"
"181082"	760826	245769	5	"2003/06/02"
"198474"	766453	533229	5	"2001/10/06"
"76971"	732255	346537	5	"2001/03/23"
"296834"	811250	442980	5	"2001/03/08"
"242546"	782720	298752	5	"2001/02/04"
"224757"	4061236868	235717	5	"2001/02/07"
"225787"	775568	274095	4	"2002/07/31"
"209884"	769451	282870	5	"2001/02/23"
"296278"	810831	241636	5	"2001/10/05"
"268894"	796409	369687	5	"2001/09/28"
"129393"	2818215556	2509934468	5	"2002/03/10"
"231872"	777802	307547	5	"2001/01/31"
"2551"	203656836	1378848644	5	"2001/03/29"
"179091"	4030500484	239890	5	"2003/06/02"
"239379"	781175	413254	4	"2001/02/04"
"53623"	1141673604	380175	5	"2001/08/16"
"87595"	1790807684	262868	5	"2001/07/31"
"99077"	2041482884	210284	5	"2001/01/18"
"119188"	743234	242264	5	"2001/07/13"
"203495"	767713	352429	5	"2002/02/14"
"64876"	730612	561700	5	"2001/09/06"
"52475"	1108512388	280831	5	"2001/01/23"
"131529"	2926218884	340335	5	"2002/03/10"
"96093"	1929023108	719342	5	"2001/02/17"
"31760"	725470	222472	5	"2001/08/23"
"120723"	2502725252	1065193348	2	"2001/05/08"
"202988"	767595	446576	5	"2002/02/14"
"159245"	3785002628	282870	5	"2001/11/15"
"144383"	749544	277005	5	"2002/05/11"
"237555"	780250	323727	5	"2001/02/04"
"44285"	727968	241850	5	"2001/06/21"
"18096"	429231748	365973	3	"2001/05/18"
"246713"	785077	235766	4	"2001/04/17"
"151035"	752242	218235	3	"2001/08/28"
"5317"	273911428	707221	5	"2001/03/29"
"215489"	771514	303318	5	"2001/03/09"
"266094"	794684	210284	5	"2001/06/21"
"70568"	1370721924	235766	5	"2001/03/27"
"155286"	3629747844	1558351748	5	"2001/04/20"
"70363"	1363709572	261079	5	"2001/03/27"
"237138"	779999	373062	4	"2001/02/04"
"194673"	765449	435967	5	"2001/04/17"
"80351"	734100	319000	5	"2001/09/28"
"201540"	767201	315436	5	"2002/02/14"
"84350"	1660849796	295348	5	"2001/10/12"
"259967"	791503	407132	5	"2001/08/05"
"28940"	725159	296058	4	"2002/07/13"
"38784"	726588	534929	5	"2003/05/15"
"35632"	814321284	266240	4	"2001/05/11"
"9831"	293965444	2145292164	5	"2001/04/10"
"203782"	767811	538275	5	"2002/02/14"
"219014"	772521	334383	5	"2001/03/09"
"170780"	3927346820	204636	5	"2001/09/07"
"10814"	311791236	533878	5	"2001/04/10"
"3355"	230919812	290941	5	"2001/03/29"
"22923"	723299	200500	5	"2001/07/11"
"112633"	739229	337542	4	"2001/03/07"
"229937"	777191	337504	5	"2001/01/31"
"137438"	3082391172	283057	5	"2001/03/28"
"78372"	732994	301950	5	"2001/03/23"
"242933"	782821	322117	4	"2001/02/04"
"226003"	775681	200338	5	"2002/07/31"
"252182"	787620	264571	5	"2001/01/31"
"270386"	797169	301950	5	"2001/09/28"
"192356"	764590	548028	5	"2003/01/03"
"87369"	1783729796	301080	4	"2001/07/31"
"122652"	2626522756	241729	5	"2001/03/19"
"97335"	1982500484	375750	5	"2001/01/18"
"195610"	765738	203962	5	"2001/10/20"
"190234"	764023	210284	4	"2001/08/04"
"116735"	742056	461406	5	"2001/07/13"
"174998"	3978399364	630119	4	"2001/03/16"
"294086"	809749	409935	5	"2001/01/22"
"95845"	1917881988	217963	5	"2001/02/17"
"3719"	236228228	200338	4	"2001/03/29"
"284188"	805471	290488	2	"2002/09/15"
"70754"	1373736580	407665	5	"2001/03/27"
"297854"	811861	204873	5	"2001/03/08"
"124732"	744234	247480	5	"2001/05/13"
"185853"	762542	235377	5	"2001/09/28"
"71533"	1393528452	257170	5	"2001/03/29"
"147553"	3311439492	210284	5	"2001/10/30"
"31049"	721325700	298752	3	"2001/08/23"
"198455"	766453	342187	5	"2001/10/06"
"260945"	791952	299917	5	"2001/08/05"
"167500"	3842805380	200338	5	"2001/09/07"
"103235"	2144898692	278004	5	"2001/08/30"
"255702"	789279	319664	5	"2001/08/05"
"6188"	719658	211674	5	"2001/10/27"
"64589"	730513	203772	5	"2001/09/06"
"165102"	755222	700005	4	"2001/06/20"
"188067"	763402	578479	5	"2001/08/04"
"259293"	791038	287898	4	"2001/08/05"
"112469"	739146	204549	5	"2001/03/07"
"135344"	3024391812	569601	2	"2001/06/06"
"133192"	747082	318628	5	"2001/04/19"
"130898"	2902101636	243427	5	"2002/03/10"
"267010"	795264	278113	5	"2002/02/15"
"39062"	726618	201226	4	"2003/05/15"
"102788"	2136510084	1568706436	5	"2001/08/30"
"86918"	1760071300	454197	5	"2001/07/31"
"80065"	734037	338096	5	"2001/09/30"
"102009"	2115473028	241636	5	"2001/08/30"
"78804"	733159	708757	5	"2001/03/23"
"15007"	721669	480385	5	"2001/03/15"
"214216"	771025	308394	3	"2001/03/09"
"281748"	804046	299754	5	"2001/02/06"
"198444"	766453	311238	5	"2001/10/06"
"181152"	760874	293732	5	"2003/06/02"
"107855"	2308411012	323904	5	"2001/09/12"
"31561"	725419	258472	4	"2001/08/23"
"222697"	774133	446576	5	"2001/10/30"
"251660"	787436	347742	5	"2001/04/01"
"35402"	799510148	201915	5	"2001/05/11"
