"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"82771"	1625394820	407132	5	0	"2001/01/10"	"2001/09/28"	1	-1
"73742"	1470992004	410002	5	0	"2001/01/10"	"2001/01/26"	1	3321654
"216693"	771917	372535	5	0	"2001/01/10"	"2001/03/09"	1	6205
"279673"	4109667972	3174403972	5	0	"2001/01/10"	"2003/05/10"	1	2531403
"174239"	3948580484	441998	4	0	"2001/01/10"	"2002/04/10"	1	2522535
"122662"	2626915972	333720	5	0	"2001/01/10"	"2001/03/19"	1	2531389
"59812"	728716	233969	5	0	"2001/01/10"	"2002/02/16"	1	2522499
"126204"	745366	351674	2	0	"2001/01/10"	"2001/05/13"	1	2531389
"34129"	780504708	533878	5	0	"2001/01/10"	"2001/05/11"	1	2522498
"218391"	772247	200338	5	0	"2001/01/10"	"2001/03/09"	1	-1
"289132"	807637	240416	5	0	"2001/01/10"	"2001/08/21"	1	2522726
"138971"	3137572484	326177	4	0	"2001/01/10"	"2001/01/18"	1	2522535
"252108"	787603	1526566788	5	0	"2001/01/10"	"2001/01/31"	1	-1
"41583"	727595	276559	5	0	"2001/01/10"	"2003/06/14"	1	2522498
"189281"	763779	210789	5	0	"2001/01/10"	"2001/08/04"	1	2522488
"209420"	769225	2982252420	5	0	"2001/01/10"	"2001/02/23"	1	6205
"60645"	728979	249400	4	0	"2001/01/10"	"2001/02/13"	1	2522499
"58915"	1261932164	256303	5	0	"2001/01/10"	"2001/02/21"	1	2522499
"200456"	766980	451811	5	0	"2001/01/10"	"2002/02/14"	1	2522488
"153351"	3541274244	432043	5	0	"2001/01/10"	"2001/03/29"	1	2518365
"162973"	754223	222557	5	0	"2001/01/10"	"2001/06/20"	1	2518365
"175021"	3980496516	1714196356	4	0	"2001/01/10"	"2001/03/16"	1	2522535
"131809"	2945879684	380175	4	0	"2001/01/10"	"2002/03/10"	1	2521901
"7024"	719982	210284	4	0	"2001/01/10"	"2002/02/17"	1	6205
"26625"	628657796	538598	5	0	"2001/01/10"	"2001/11/29"	1	2531403
"26175"	616337028	262051	4	0	"2001/01/10"	"2001/11/29"	1	2531403
"258075"	790368	416890	5	1	"2001/01/10"	"2001/08/05"	1	2531403
"232755"	778093	367837	4	0	"2001/01/10"	"2001/01/31"	1	6205
"246365"	784978	330912	5	0	"2001/01/10"	"2001/04/17"	1	2531403
"48031"	1010077316	346486	5	0	"2001/01/10"	"2001/03/19"	1	2522499
"263139"	793105	442980	5	0	"2001/01/10"	"2001/06/21"	1	2531403
"110970"	738330	302444	5	0	"2001/01/10"	"2001/04/20"	1	2522131
"228524"	776508	243081	4	0	"2001/01/10"	"2001/01/31"	1	6205
"42696"	727782	218579	4	0	"2001/01/10"	"2001/04/14"	1	-1
"115870"	741338	494775	5	0	"2001/01/10"	"2001/07/13"	1	2522131
"122562"	2620952196	462625	4	0	"2001/01/10"	"2001/03/19"	1	2531389
"42400"	872582788	526523	5	0	"2001/01/10"	"2001/04/14"	1	-1
"101355"	2105708164	269785	5	0	"2001/01/10"	"2001/01/24"	1	2522131
"128401"	2780728964	288272	3	1	"2001/01/10"	"2001/02/11"	1	2521901
"51436"	1090358916	304925	5	0	"2001/01/10"	"2001/01/19"	1	2522499
"86579"	1741917828	252302	3	0	"2001/01/10"	"2001/04/18"	1	46335
"118730"	742994	238783	4	0	"2001/01/10"	"2001/07/13"	1	2522131
"246659"	785074	393223	5	0	"2001/01/10"	"2001/04/17"	1	2531403
"155809"	3663957636	627845	3	0	"2001/01/10"	"2001/04/20"	1	2518365
"200161"	766885	207041	4	0	"2001/01/10"	"2001/10/29"	1	2522488
"284572"	805694	231460	5	0	"2001/01/10"	"2002/09/15"	1	2522726
"204747"	768034	423230	5	0	"2001/01/10"	"2002/02/14"	1	-1
"243838"	4079259268	235377	5	0	"2001/01/10"	"2001/02/04"	1	2531398
"130613"	2889322116	208103	5	0	"2001/01/10"	"2002/03/10"	1	2521901
"286508"	806518	446576	5	0	"2001/01/10"	"2001/10/30"	1	2522726
"262272"	792663	319798	5	0	"2001/01/10"	"2001/06/21"	1	2531403
"291070"	808594	306614	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"214542"	771145	361404	5	0	"2001/01/10"	"2001/03/09"	1	-1
"182805"	761669	260251	5	0	"2001/01/10"	"2002/02/18"	1	2531404
"76621"	1556516484	334383	5	0	"2001/01/10"	"2001/03/23"	1	3321654
"102619"	2132774532	336718	5	0	"2001/01/10"	"2001/08/30"	1	2522131
"124135"	743771	506137	5	0	"2001/01/10"	"2001/05/13"	1	2531389
"172106"	756592	260251	5	0	"2001/01/10"	"2001/08/23"	1	2522482
"102390"	2123206276	204441	5	0	"2001/01/10"	"2001/08/30"	1	2522131
"237741"	4073033348	3205533572	5	0	"2001/01/10"	"2001/02/04"	1	6205
"182856"	761675	255817	4	0	"2001/01/10"	"2002/02/18"	1	2531404
"243728"	783157	408463	5	0	"2001/01/10"	"2001/02/04"	1	2531398
"275141"	799482	204418	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"251995"	787597	266240	4	0	"2001/01/10"	"2001/01/31"	1	2531403
"242279"	782558	298184	5	0	"2001/01/10"	"2001/02/04"	1	2531398
"295059"	810187	292193	4	0	"2001/01/10"	"2001/01/22"	1	2522726
"87434"	1784909444	205076	5	0	"2001/01/10"	"2001/07/31"	1	46335
"47239"	999919236	224644	5	0	"2001/01/10"	"2001/03/19"	1	2522499
"293921"	809635	370291	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"106976"	2270596740	201180	5	0	"2001/01/10"	"2001/09/12"	1	2522131
"182418"	761470	295423	5	0	"2001/01/10"	"2002/02/18"	1	2531404
"20424"	504663684	222557	5	0	"2001/01/10"	"2001/05/22"	1	-1
"273626"	798990	372535	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"208173"	768925	692821	4	0	"2001/01/10"	"2002/02/14"	1	6205
"287373"	807042	398175	5	0	"2001/01/10"	"2001/08/21"	1	2522726
"235979"	779308	532010	5	0	"2001/01/10"	"2001/01/31"	1	6205
"226665"	775933	215938	5	0	"2001/01/10"	"2002/07/31"	1	6205
"89241"	1867288196	244708	5	0	"2001/01/10"	"2001/07/31"	1	46335
"22109"	722687	375750	3	0	"2001/01/10"	"2001/07/11"	1	2531403
"161582"	753212	2515308420	5	0	"2001/01/10"	"2001/06/20"	1	2518365
"102934"	2138934916	441052	4	0	"2001/01/10"	"2001/08/30"	1	2522131
"13917"	721246	346777	4	0	"2001/01/10"	"2001/03/15"	1	2522488
"237527"	780236	279675	4	0	"2001/01/10"	"2001/02/04"	1	6205
"231561"	777626	350765	5	0	"2001/01/10"	"2001/01/31"	1	-1
"234987"	779002	309973	5	0	"2001/01/10"	"2001/01/31"	1	6205
"228220"	776393	461876	4	0	"2001/01/10"	"2001/01/31"	1	6205
"230755"	777553	3137834884	5	1	"2001/01/10"	"2001/01/31"	1	-1
"58060"	1245810308	437158	5	0	"2001/01/10"	"2001/02/09"	1	-1
"56707"	1211666052	418616	5	0	"2001/01/10"	"2001/02/09"	1	2522499
"165748"	755640	323666	5	0	"2001/01/10"	"2001/06/20"	1	165915759489
"52929"	1123716740	700005	5	0	"2001/01/10"	"2001/01/23"	1	2522499
"296607"	811009	224762	4	0	"2001/01/10"	"2001/03/08"	1	2522726
"99691"	2055966340	1568706436	5	0	"2001/01/10"	"2001/01/18"	1	2522131
"17449"	407670404	459085	4	0	"2001/01/10"	"2001/05/18"	1	2531403
"209988"	769476	404257	5	0	"2001/01/10"	"2001/02/23"	1	-1
"192040"	764481	261079	4	0	"2001/01/10"	"2003/01/03"	1	2522488
"113788"	740008	302801	5	0	"2001/01/10"	"2001/07/13"	1	2522131
"246838"	785117	350765	5	0	"2001/01/10"	"2001/04/17"	1	2531403
"248885"	786198	346485	5	0	"2001/01/10"	"2001/04/01"	1	2531403
"66065"	730943	218235	4	0	"2001/01/10"	"2001/09/06"	1	2522499
"64003"	730244	289842	5	0	"2001/01/10"	"2001/09/06"	1	-1
"112583"	739229	420738	4	0	"2001/01/10"	"2001/03/07"	1	2522131
"79013"	733270	206813	5	0	"2001/01/10"	"2001/08/24"	1	3321654
"223028"	774190	416547	5	0	"2001/01/10"	"2001/02/07"	1	-1
"65945"	730905	309377	5	0	"2001/01/10"	"2001/09/06"	1	2522499
"176877"	4003171972	359564	5	0	"2001/01/10"	"2001/02/05"	1	2531404
"208487"	768985	261568	5	0	"2001/01/10"	"2001/02/23"	1	-1
"286678"	806611	356034	4	0	"2001/01/10"	"2001/10/30"	1	2522726
"17969"	421826180	222449	5	0	"2001/01/10"	"2001/05/18"	1	2531403
"152720"	3517288068	296904	4	0	"2001/01/10"	"2001/03/29"	1	6205
"265875"	794605	3013644164	5	0	"2001/01/10"	"2001/06/21"	1	2531403
"46730"	982093444	200595	4	0	"2001/01/10"	"2002/02/21"	1	2522499
"42287"	869568132	234885	5	0	"2001/01/10"	"2001/04/14"	1	2522535
"270563"	797275	406795	5	0	"2001/01/10"	"2001/09/28"	1	2531403
"163264"	754277	200762	5	0	"2001/01/10"	"2001/06/20"	1	165915759489
"260915"	791931	462630	5	0	"2001/01/10"	"2001/08/05"	1	2531403
"179804"	760082	351471	5	0	"2001/01/10"	"2003/06/02"	1	2522726
"166420"	3815018116	292095	5	0	"2001/01/10"	"2001/09/07"	1	2522545
"270759"	797403	471223	5	0	"2001/01/10"	"2001/09/28"	1	2531403
"283733"	805368	248235	5	0	"2001/01/10"	"2002/09/15"	1	2522726
"61172"	729150	263022	5	0	"2001/01/10"	"2001/08/16"	1	2522499
"274374"	799264	386189	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"34214"	780504708	597498	5	0	"2001/01/10"	"2001/05/11"	1	2522498
"34268"	781684356	293732	5	0	"2001/01/10"	"2001/05/11"	1	2522498
"110509"	737991	1504743300	5	1	"2001/01/10"	"2001/04/20"	1	2522131
"163700"	754524	332261	5	0	"2001/01/10"	"2001/06/20"	1	2518365
"145450"	750056	260251	5	0	"2001/01/10"	"2001/08/20"	1	2522535
"228443"	776506	300048	5	0	"2001/01/10"	"2001/01/31"	1	6205
"168981"	3882389124	234283	5	0	"2001/01/10"	"2001/09/07"	1	2522482
"191099"	764266	222557	4	0	"2001/01/10"	"2001/08/04"	1	2522488
"145242"	750006	261079	5	0	"2001/01/10"	"2001/08/20"	1	2522535
"47054"	993627780	262919	4	0	"2001/01/10"	"2001/03/19"	1	2522499
"294343"	809885	308854	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"99429"	2047184516	201180	5	0	"2001/01/10"	"2001/01/18"	1	2522131
"274097"	799043	243427	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"289514"	807870	337700	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"96100"	1929023108	237120	5	0	"2001/01/10"	"2001/02/17"	1	2522131
"277706"	801047	232924	5	0	"2001/01/10"	"2001/03/23"	1	2531403
"295711"	810511	450704	5	0	"2001/01/10"	"2001/10/05"	1	2522726
"97056"	1969458820	235971	4	0	"2001/01/10"	"2001/01/18"	1	2522131
"107239"	2287046276	270206	5	0	"2001/01/10"	"2001/09/12"	1	2522131
"225068"	775145	416547	5	0	"2001/01/10"	"2001/02/07"	1	6205
"54117"	1145867908	322117	4	0	"2001/01/10"	"2001/02/09"	1	2522499
"276379"	800011	323374	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"207301"	768681	243427	5	0	"2001/01/10"	"2002/02/14"	1	6205
"124615"	744075	351524	3	0	"2001/01/10"	"2001/05/13"	1	2531389
"124323"	743936	363878	4	0	"2001/01/10"	"2001/05/13"	1	2531389
"150329"	751939	261183	5	0	"2001/01/10"	"2001/03/07"	1	2522317
"209351"	769195	267043	5	0	"2001/01/10"	"2001/02/23"	1	-1
"160567"	752634	1216515972	5	0	"2001/01/10"	"2001/06/20"	1	2518365
"255294"	789034	346486	5	0	"2001/01/10"	"2001/08/05"	1	-1
"176035"	757951	457657	5	0	"2001/01/10"	"2001/03/16"	1	2522535
"139318"	3143470724	256565	5	0	"2001/01/10"	"2001/04/10"	1	2522535
"296024"	810674	415655	5	0	"2001/01/10"	"2001/10/05"	1	2522726
"21847"	722540	282870	5	0	"2001/01/10"	"2001/07/11"	1	2531403
"19312"	471568004	211247	5	0	"2001/01/10"	"2001/05/18"	1	2531403
"72622"	1427213956	2413727620	5	0	"2001/01/10"	"2002/07/31"	1	3321654
"173492"	757070	200500	5	0	"2001/01/10"	"2002/04/10"	1	2522482
"294856"	810100	350170	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"123851"	743387	263801	5	0	"2001/01/10"	"2001/05/13"	1	2531389
"45535"	954830468	370291	5	0	"2001/01/10"	"2001/03/29"	1	2522499
"85240"	1697418884	231385	4	0	"2001/01/10"	"2001/05/05"	1	-1
"168718"	3873083012	218579	5	0	"2001/01/10"	"2001/09/07"	1	2522482
"62439"	729729	210964	5	0	"2001/01/10"	"2001/08/16"	1	2522499
"20356"	500731524	233600	5	0	"2001/01/10"	"2001/05/22"	1	2531403
"145478"	750056	279109	5	0	"2001/01/10"	"2001/08/20"	1	2522535
"93284"	736996	244271	5	0	"2001/01/10"	"2001/01/26"	1	46335
"214688"	771186	410002	4	0	"2001/01/10"	"2001/03/09"	1	6205
"40216"	727220	235717	5	0	"2001/01/10"	"2003/05/15"	1	2522498
"150265"	751853	365973	5	0	"2001/01/10"	"2001/03/07"	1	2522317
"77541"	732501	287021	5	0	"2001/01/10"	"2001/03/23"	1	3321654
"259874"	791464	370719	5	0	"2001/01/10"	"2001/08/05"	1	2531403
"32334"	725989	260558	4	0	"2001/01/10"	"2001/08/23"	1	2522495
"209675"	769338	461876	4	0	"2001/01/10"	"2001/02/23"	1	6205
"55819"	1191677572	299846	5	0	"2001/01/10"	"2001/02/09"	1	2522499
"231855"	777787	716243	4	0	"2001/01/10"	"2001/01/31"	1	6205
"234445"	778908	294018	3	0	"2001/01/10"	"2001/01/31"	1	6205
"155326"	3634400900	222557	5	0	"2001/01/10"	"2001/04/20"	1	-1
"176090"	757963	311129	5	0	"2001/01/10"	"2001/03/16"	1	2522535
"160575"	752634	244708	5	0	"2001/01/10"	"2001/06/20"	1	2518365
"68660"	1299287684	497285	4	0	"2001/01/10"	"2001/09/06"	1	2522535
"214553"	771145	459085	5	0	"2001/01/10"	"2001/03/09"	1	-1
"197275"	766191	200903	5	0	"2001/01/10"	"2001/10/20"	1	2522488
"56867"	1217498756	396581	5	0	"2001/01/10"	"2001/03/16"	1	2522535
"9904"	294751876	368449	5	0	"2001/01/10"	"2001/04/10"	1	2522488
"29993"	689802884	450333	5	0	"2001/01/10"	"2001/08/23"	1	2522495
"95621"	1903726212	237979	5	0	"2001/01/10"	"2001/02/17"	1	2522131
"178256"	758964	274412	4	0	"2001/01/10"	"2003/06/02"	1	-1
"92999"	736709	346777	4	0	"2001/01/10"	"2001/01/26"	1	46335
"4025"	241340036	280501	5	0	"2001/01/10"	"2001/03/29"	1	6205
"133597"	747295	292852	5	0	"2001/01/10"	"2001/04/19"	1	2521901
"107178"	2281672324	210284	4	0	"2001/01/10"	"2001/09/12"	1	2522131
"178659"	4026896004	3236269956	5	0	"2001/01/10"	"2003/06/02"	1	2531389
"125440"	744809	346777	3	1	"2001/01/10"	"2001/05/13"	1	2531389
"170615"	3923676804	430252	5	0	"2001/01/10"	"2001/09/07"	1	2522482
"233002"	778298	426430	5	0	"2001/01/10"	"2001/01/31"	1	6205
"229744"	777136	281638	5	0	"2001/01/10"	"2001/01/31"	1	6205
"202822"	767566	338514	5	0	"2001/01/10"	"2002/02/14"	1	2522488
"36048"	823496324	673695	5	0	"2001/01/10"	"2001/06/13"	1	2522498
"112769"	739298	238184	5	0	"2001/01/10"	"2001/03/07"	1	2522131
"199844"	766784	630119	5	0	"2001/01/10"	"2001/10/06"	1	2522488
"285792"	806251	233466	5	0	"2001/01/10"	"2001/10/30"	1	2522726
"15930"	377261700	362994	5	0	"2001/01/10"	"2001/03/15"	1	2531398
"191658"	764408	432043	5	0	"2001/01/10"	"2003/01/03"	1	2522488
"220405"	773061	279499	5	0	"2001/01/10"	"2001/04/23"	1	6205
"91910"	736226	462224	5	0	"2001/01/10"	"2001/01/26"	1	46335
"174718"	3965619844	626193	4	0	"2001/01/10"	"2001/03/16"	1	2522535
"53630"	1141673604	290844	5	0	"2001/01/10"	"2001/08/16"	1	2522499
"290564"	808392	468693	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"51751"	1093176964	293732	5	0	"2001/01/10"	"2001/01/19"	1	2522499
"28412"	724904	256303	3	0	"2001/01/10"	"2001/02/22"	1	2531403
"34084"	776310404	380175	4	0	"2001/01/10"	"2001/05/11"	1	2522498
"215144"	771369	266827	5	0	"2001/01/10"	"2001/03/09"	1	6205
"276659"	800160	3200946052	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"277215"	800700	332713	4	0	"2001/01/10"	"2001/11/15"	1	2531403
"8363"	720586	438886	5	0	"2001/01/10"	"2001/08/20"	1	6205
"58654"	1258524292	405871	5	0	"2001/01/10"	"2001/02/21"	1	2522499
"270789"	797483	483668	5	0	"2001/01/10"	"2001/09/28"	1	2531403
"250271"	786803	329340	5	0	"2001/01/10"	"2001/04/01"	1	2531403
"133679"	747324	491968	5	0	"2001/01/10"	"2001/04/19"	1	2521901
"290825"	808560	349421	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"188780"	763589	279544	5	0	"2001/01/10"	"2001/08/04"	1	2522488
"299539"	812462	650111	5	0	"2001/01/10"	"2001/03/08"	1	2522726
"198747"	766551	208923	5	0	"2001/01/10"	"2001/10/06"	1	2522488
"130416"	2877197956	380658	5	0	"2001/01/10"	"2002/03/10"	1	2521901
"86128"	1730842244	234350	4	0	"2001/01/10"	"2001/04/18"	1	46335
"289650"	807935	348390	2	1	"2001/01/10"	"2001/01/22"	1	2522726
"84549"	1671007876	295491	3	0	"2001/01/10"	"2001/05/05"	1	46335
"205408"	768134	248119	4	0	"2001/01/10"	"2002/02/14"	1	6205
"27556"	650743428	552795	4	0	"2001/01/10"	"2001/11/29"	1	2531403
"180490"	760416	339360	4	0	"2001/01/10"	"2003/06/02"	1	-1
"149625"	750930	334403	5	0	"2001/01/10"	"2001/03/07"	1	2522317
"292076"	809008	331570	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"226153"	775717	202911	3	0	"2001/01/10"	"2002/07/31"	1	6205
"130040"	2857340548	307866	2	1	"2001/01/10"	"2002/03/10"	1	2521901
"234378"	778897	300364	5	0	"2001/01/10"	"2001/01/31"	1	6205
"46999"	987270788	434487	5	0	"2001/01/10"	"2001/03/19"	1	2522499
"216634"	771913	353144708	4	0	"2001/01/10"	"2001/03/09"	1	6205
"2152"	196972164	256565	5	0	"2001/01/10"	"2001/03/29"	1	6205
"46454"	976981636	329116	5	0	"2001/01/10"	"2002/02/21"	1	2522499
