V1	V2	V3	V6
756149	265056	5	2001/09/07
986812036	262760	3	2001/03/19
761879	356519	5	2001/09/28
499158660	204418	5	2001/05/22
2405207684	334400	4	2001/04/20
728020	276807	5	2001/06/21
741482	374388	4	2001/07/13
772119	223418	5	2001/03/09
3847130756	315231	4	2001/09/07
2441318020	698716036	5	2001/07/13
728646	231340	5	2002/02/16
756108	323185	5	2001/09/07
730509	204506	5	2001/09/06
2813824644	262760	4	2001/09/04
767896	268021	5	2002/02/14
727692	210284	5	2003/06/14
773371	433727	5	2001/10/30
2210500228	297788	4	2001/09/12
2237369988	301797	5	2001/09/12
722806	294947	5	2001/07/11
722883	285907	5	2001/07/11
752618	265981	4	2001/06/20
814321284	1532923780	5	2001/05/11
558730884	294018	4	2001/09/18
749199	447478	5	2001/08/22
742675	405871	5	2001/07/13
3624177284	458220	5	2001/11/28
762920	298184	2	2001/08/04
755856	200690	5	2001/09/07
727267	240308	5	2003/05/15
1141804676	242266	5	2001/08/16
499158660	293646	5	2001/05/22
2071826052	301797	5	2001/01/18
3923676804	281943	5	2001/09/07
767829	423230	5	2002/02/14
759181	486816	5	2003/06/02
350129796	261565	5	2001/03/15
775503	410833	5	2001/02/07
754632	485024	5	2001/06/20
756812	243427	5	2001/07/18
4068052612	300364	5	2001/01/31
773749	315530	4	2001/10/30
3057880708	333099	5	2001/03/13
753248	323881	3	2001/06/20
1058246276	300298	5	2001/02/07
766784	313448	5	2001/10/06
777626	505248	5	2001/01/31
734398	293646	5	2001/09/28
1542295172	241362	5	2002/03/10
3149237892	462146	5	2001/04/10
769195	218958	5	2001/02/23
776954	405134	5	2001/01/31
1099992708	349324	5	2001/03/14
765742	437158	4	2001/10/20
1077710468	249622	5	2001/02/07
827166340	269106	5	2001/06/13
781934	574411	5	2001/02/04
3213594244	381452	5	2001/04/10
664047236	293732	5	2001/11/29
747972	200338	4	2001/04/19
1506446980	224644	5	2002/03/10
744066692	205068	5	2001/08/23
719874	437158	5	2002/02/17
624463492	533229	5	2001/11/29
780781	233481	5	2001/02/04
1304268420	519669	5	2001/09/06
3862138500	380461	5	2001/09/07
3981545092	592568	4	2001/03/16
1457688196	240913	5	2001/10/15
3070594692	261183	5	2001/03/13
720685	243574	3	2001/04/10
771922	338015	5	2001/03/09
773939	3210121092	5	2001/10/30
3457781380	200338	5	2001/08/28
731592	324994	5	2001/09/06
734129	304270	4	2001/09/28
3867250308	281943	5	2001/09/07
733740	719308	5	2001/02/06
277974660	655677	4	2001/10/27
3467415172	241578	5	2001/03/29
1510903428	293646	5	2002/03/10
766354	572346	5	2001/10/06
768059	279544	5	2002/02/14
768513	320093	5	2002/02/14
3426782852	355176	5	2001/03/07
766756	312846	5	2001/10/06
1580043908	569601	2	2001/09/28
3989474948	446576	5	2001/03/16
768034	290046	5	2002/02/14
744354	280800	5	2001/05/13
1631751812	306568	5	2001/10/30
3555102340	256565	5	2001/03/29
779026	208283	2	2001/01/31
764199	881561476	5	2001/08/04
450465412	210284	4	2001/05/18
740678	486842	5	2001/07/13
1506446980	1526566788	5	2002/03/10
2453573252	229113	3	2001/07/13
752203	363895	5	2001/01/24
4037054084	432977	2	2002/02/18
3505426052	270717	5	2001/03/29
754025	206437	5	2001/06/20
1503956612	526497	5	2002/03/10
3315830404	210284	3	2001/10/30
757436036	246739	5	2001/05/11
776227	240913	5	2002/07/31
729569	364668	5	2001/08/16
770541	562458	5	2001/02/23
736957	203241	5	2001/01/26
3872099972	302584	5	2001/09/07
724348	375750	2	2001/06/29
3396374148	225377	5	2001/03/07
738754	222263	5	2001/04/20
737550	232075	5	2001/02/17
749242	257816	5	2002/05/11
237670020	406998	5	2001/03/29
768034	547653	5	2002/02/14
759970	561767	5	2003/06/02
729243	308422	5	2001/08/16
768342	294260	5	2002/02/14
761813	296847	4	2001/09/28
966626948	315214	5	2002/01/05
767089	533229	5	2002/02/14
676892292	255273	4	2001/08/23
761188	210284	4	2002/02/18
764661	378193	4	2003/01/03
3800141444	296904	5	2001/06/20
3323432580	429786	2	2001/04/16
773771	243427	5	2001/10/30
755354	239232	5	2001/06/20
1100189316	453486	4	2001/08/16
1090948740	502205	5	2001/01/19
731005	297335	5	2001/09/06
2103283332	204418	5	2001/01/24
729190	266564	5	2001/08/16
816025220	231340	4	2001/06/13
729810	248171	5	2001/08/16
736226	302444	5	2001/01/26
742280	338127	5	2001/07/13
734129	548426	4	2001/09/28
742640	515078	5	2001/07/13
781640	504297	5	2001/02/04
727482	591938	5	2003/05/15
719658	405503	5	2001/10/27
748598	246739	5	2001/06/06
3965161092	307219	5	2002/04/10
767595	412151	5	2002/02/14
733626	643057	4	2001/02/06
1505136260	548266	5	2002/03/10
723262	298184	4	2001/07/11
3952184964	204418	5	2002/04/10
766453	505314	5	2001/10/06
750917	288418	5	2001/03/07
1810796164	569601	3	2001/07/31
499158660	256565	5	2001/05/22
780042	394804	5	2001/02/04
2333052548	210870	4	2001/09/12
3544944260	297363	5	2001/03/29
726282	356034	5	2003/04/28
724710	242696	4	2001/02/22
255823492	216193	4	2001/03/29
2085326468	215415	4	2001/10/28
746473	209674	4	2001/04/19
3694300804	201805	4	2001/11/15
723643	245666	5	2002/01/13
726547	285020	5	2003/05/15
445419140	210284	4	2001/05/18
413699716	255181	4	2001/05/18
767018	298184	5	2002/02/14
732501	200595	5	2001/03/23
729150	285907	5	2001/08/16
